year,jurisdiction,average_scale_score,race_ethnicity_used_to_report_trends_school_reported
2024,Albuquerque,‡,Black
2024,Atlanta,246,Black
2024,Austin,‡,Black
2024,Baltimore City,240,Black
2024,Boston,250,Black
2024,Charlotte,259,Black
2024,Chicago,252,Black
2024,Clark County (NV),242,Black
2024,Cleveland,237,Black
2024,Dallas,247,Black
2024,Denver,251,Black
2024,Detroit,234,Black
2024,District of Columbia (DCPS),243,Black
2024,Duval County (FL),248,Black
2024,Fort Worth,239,Black
2024,Guilford County (NC),252,Black
2024,Hillsborough County (FL),255,Black
2024,Houston,255,Black
2024,Jefferson County (KY),237,Black
2024,Los Angeles,240,Black
2024,Miami,251,Black
2024,Milwaukee,230,Black
2024,New York City,256,Black
2024,Orange County (FL),251,Black
2024,Philadelphia,240,Black
2024,San Diego,‡,Black
2024,Albuquerque,249,Hispanic
2024,Atlanta,‡,Hispanic
2024,Austin,253,Hispanic
2024,Baltimore City,248,Hispanic
2024,Boston,251,Hispanic
2024,Charlotte,259,Hispanic
2024,Chicago,262,Hispanic
2024,Clark County (NV),253,Hispanic
2024,Cleveland,247,Hispanic
2024,Dallas,260,Hispanic
2024,Denver,247,Hispanic
2024,Detroit,249,Hispanic
2024,District of Columbia (DCPS),254,Hispanic
2024,Duval County (FL),252,Hispanic
2024,Fort Worth,249,Hispanic
2024,Guilford County (NC),258,Hispanic
2024,Hillsborough County (FL),258,Hispanic
2024,Houston,258,Hispanic
2024,Jefferson County (KY),250,Hispanic
2024,Los Angeles,252,Hispanic
2024,Miami,269,Hispanic
2024,Milwaukee,248,Hispanic
2024,New York City,251,Hispanic
2024,Orange County (FL),260,Hispanic
2024,Philadelphia,242,Hispanic
2024,San Diego,256,Hispanic
2024,Albuquerque,285,White
2024,Atlanta,308,White
2024,Austin,297,White
2024,Baltimore City,279,White
2024,Boston,296,White
2024,Charlotte,309,White
2024,Chicago,301,White
2024,Clark County (NV),283,White
2024,Cleveland,257,White
2024,Dallas,‡,White
2024,Denver,303,White
2024,Detroit,‡,White
2024,District of Columbia (DCPS),329,White
2024,Duval County (FL),278,White
2024,Fort Worth,288,White
2024,Guilford County (NC),295,White
2024,Hillsborough County (FL),278,White
2024,Houston,299,White
2024,Jefferson County (KY),274,White
2024,Los Angeles,284,White
2024,Miami,289,White
2024,Milwaukee,284,White
2024,New York City,284,White
2024,Orange County (FL),284,White
2024,Philadelphia,279,White
2024,San Diego,295,White
2024,Nation,284,White
