Year,Jurisdiction,Average scale score,"Race/ethnicity used to report trends, school-reported"
,,‡,Asian/Pacific Islander
,,‡,American Indian/Alaska Native
,,‡,Two or more races
,Houston,264,White
,,225,Black
,,233,Hispanic
,,267,Asian/Pacific Islander
,,‡,American Indian/Alaska Native
,,‡,Two or more races
,Jefferson County (KY),243,White
,,218,Black
,,224,Hispanic
,,‡,Asian/Pacific Islander
,,‡,American Indian/Alaska Native
,,238,Two or more races
,Los Angeles,242,White
,,206,Black
,,220,Hispanic
,,‡,Asian/Pacific Islander
,,‡,American Indian/Alaska Native
,,‡,Two or more races
,Miami-Dade,258,White
,,237,Black
,,246,Hispanic
,,‡,Asian/Pacific Islander
,,‡,American Indian/Alaska Native
,,‡,Two or more races
,Milwaukee,239,White
,,206,Black
,,217,Hispanic
,,231,Asian/Pacific Islander
,,‡,American Indian/Alaska Native
,,‡,Two or more races
,New York City,248,White
,,216,Black
,,220,Hispanic
,,257,Asian/Pacific Islander
,,‡,American Indian/Alaska Native
,,‡,Two or more races
,Philadelphia,242,White
,,209,Black
,,209,Hispanic
,,246,Asian/Pacific Islander
,,‡,American Indian/Alaska Native
,,222,Two or more races
,San Diego,258,White
,,218,Black
,,228,Hispanic
,,255,Asian/Pacific Islander
,,‡,American Indian/Alaska Native
,,252,Two or more races
,Shelby County (TN),248,White
,,225,Black
,,228,Hispanic
,,‡,Asian/Pacific Islander
,,‡,American Indian/Alaska Native
,,‡,Two or more races
